date,year,month,day,weekday,hour,demand,temperature
6/6/2014,2014,6,6,6,19,14675,73
6/6/2014,2014,6,6,6,20,14414,72
6/6/2014,2014,6,6,6,21,14483,70
6/6/2014,2014,6,6,6,22,14244,67
6/6/2014,2014,6,6,6,23,13080,65
6/6/2014,2014,6,6,6,24,11767,63
6/7/2014,2014,6,7,7,1,10777,62
6/7/2014,2014,6,7,7,2,10154,60
6/7/2014,2014,6,7,7,3,9800,60
6/7/2014,2014,6,7,7,4,9609,58
6/7/2014,2014,6,7,7,5,9623,58
6/7/2014,2014,6,7,7,6,9715,57
6/7/2014,2014,6,7,7,7,10432,57
6/7/2014,2014,6,7,7,8,11584,62
6/7/2014,2014,6,7,7,9,12735,66
6/7/2014,2014,6,7,7,10,13503,69
6/7/2014,2014,6,7,7,11,14010,73
6/7/2014,2014,6,7,7,12,14297,75
6/7/2014,2014,6,7,7,13,14448,77
6/7/2014,2014,6,7,7,14,14496,78
6/7/2014,2014,6,7,7,15,14559,79
6/7/2014,2014,6,7,7,16,14694,80
6/7/2014,2014,6,7,7,17,14909,80
6/7/2014,2014,6,7,7,18,15057,80
6/7/2014,2014,6,7,7,19,14973,78
6/7/2014,2014,6,7,7,20,14737,78
6/7/2014,2014,6,7,7,21,14737,75
6/7/2014,2014,6,7,7,22,14538,71
6/7/2014,2014,6,7,7,23,13445,68
6/7/2014,2014,6,7,7,24,12221,67
6/8/2014,2014,6,8,1,1,11199,67
6/8/2014,2014,6,8,1,2,10529,65
6/8/2014,2014,6,8,1,3,10080,64
6/8/2014,2014,6,8,1,4,9820,63
6/8/2014,2014,6,8,1,5,9724,62
6/8/2014,2014,6,8,1,6,9629,61
6/8/2014,2014,6,8,1,7,10099,61
6/8/2014,2014,6,8,1,8,11099,65
6/8/2014,2014,6,8,1,9,12350,70
6/8/2014,2014,6,8,1,10,13399,74
6/8/2014,2014,6,8,1,11,14169,76
6/8/2014,2014,6,8,1,12,14718,78
6/8/2014,2014,6,8,1,13,15042,79
6/8/2014,2014,6,8,1,14,15181,81
6/8/2014,2014,6,8,1,15,15288,80
6/8/2014,2014,6,8,1,16,15518,81
6/8/2014,2014,6,8,1,17,15856,81
6/8/2014,2014,6,8,1,18,16136,81
6/8/2014,2014,6,8,1,19,16085,81
6/8/2014,2014,6,8,1,20,15857,78
6/8/2014,2014,6,8,1,21,16053,75
6/8/2014,2014,6,8,1,22,15566,72
6/8/2014,2014,6,8,1,23,14105,72
6/8/2014,2014,6,8,1,24,12611,70
6/9/2014,2014,6,9,2,1,11574,68
6/9/2014,2014,6,9,2,2,10958,67
6/9/2014,2014,6,9,2,3,10612,66
6/9/2014,2014,6,9,2,4,10474,65
6/9/2014,2014,6,9,2,5,10691,64
6/9/2014,2014,6,9,2,6,11442,64
6/9/2014,2014,6,9,2,7,13150,64
6/9/2014,2014,6,9,2,8,14608,65
6/9/2014,2014,6,9,2,9,15328,66
6/9/2014,2014,6,9,2,10,15885,68
6/9/2014,2014,6,9,2,11,16382,69
6/9/2014,2014,6,9,2,12,16706,71
6/9/2014,2014,6,9,2,13,16812,72
6/9/2014,2014,6,9,2,14,16968,73
6/9/2014,2014,6,9,2,15,16887,74
6/9/2014,2014,6,9,2,16,16735,74
6/9/2014,2014,6,9,2,17,16640,70
6/9/2014,2014,6,9,2,18,16537,70
6/9/2014,2014,6,9,2,19,16232,68
6/9/2014,2014,6,9,2,20,16034,68
6/9/2014,2014,6,9,2,21,15999,67
6/9/2014,2014,6,9,2,22,15197,66
6/9/2014,2014,6,9,2,23,13666,65
6/9/2014,2014,6,9,2,24,12257,64
6/10/2014,2014,6,10,3,1,11337,64
6/10/2014,2014,6,10,3,2,10799,63
6/10/2014,2014,6,10,3,3,10504,63
6/10/2014,2014,6,10,3,4,10423,63
6/10/2014,2014,6,10,3,5,10676,62
6/10/2014,2014,6,10,3,6,11516,62
6/10/2014,2014,6,10,3,7,13213,62
6/10/2014,2014,6,10,3,8,14644,63
6/10/2014,2014,6,10,3,9,15381,65
6/10/2014,2014,6,10,3,10,15942,66
6/10/2014,2014,6,10,3,11,16478,68
6/10/2014,2014,6,10,3,12,16798,71
6/10/2014,2014,6,10,3,13,16932,70
6/10/2014,2014,6,10,3,14,17137,72
6/10/2014,2014,6,10,3,15,17196,74
6/10/2014,2014,6,10,3,16,17210,76
6/10/2014,2014,6,10,3,17,17277,75
6/10/2014,2014,6,10,3,18,17161,74
6/10/2014,2014,6,10,3,19,16749,73
6/10/2014,2014,6,10,3,20,16357,70
6/10/2014,2014,6,10,3,21,16296,69
6/10/2014,2014,6,10,3,22,15501,67
6/10/2014,2014,6,10,3,23,13874,64
6/10/2014,2014,6,10,3,24,12331,63
6/11/2014,2014,6,11,4,1,11274,61
6/11/2014,2014,6,11,4,2,10658,60
6/11/2014,2014,6,11,4,3,10311,60
6/11/2014,2014,6,11,4,4,10181,59
6/11/2014,2014,6,11,4,5,10352,58
6/11/2014,2014,6,11,4,6,11060,58
6/11/2014,2014,6,11,4,7,12709,58
6/11/2014,2014,6,11,4,8,14086,59
6/11/2014,2014,6,11,4,9,14696,61
6/11/2014,2014,6,11,4,10,15083,62
6/11/2014,2014,6,11,4,11,15456,64
6/11/2014,2014,6,11,4,12,15677,66
6/11/2014,2014,6,11,4,13,15743,67
6/11/2014,2014,6,11,4,14,15817,67
6/11/2014,2014,6,11,4,15,15686,67
6/11/2014,2014,6,11,4,16,15561,65
6/11/2014,2014,6,11,4,17,15485,64
6/11/2014,2014,6,11,4,18,15390,64
6/11/2014,2014,6,11,4,19,15101,63
6/11/2014,2014,6,11,4,20,14875,63
6/11/2014,2014,6,11,4,21,15015,62
6/11/2014,2014,6,11,4,22,14469,61
6/11/2014,2014,6,11,4,23,13060,61
6/11/2014,2014,6,11,4,24,11676,60
6/12/2014,2014,6,12,5,1,10749,59
6/12/2014,2014,6,12,5,2,10241,59
6/12/2014,2014,6,12,5,3,9968,59
6/12/2014,2014,6,12,5,4,9902,58
6/12/2014,2014,6,12,5,5,10132,58
6/12/2014,2014,6,12,5,6,10908,58
6/12/2014,2014,6,12,5,7,12562,58
6/12/2014,2014,6,12,5,8,13965,59
6/12/2014,2014,6,12,5,9,14582,59
6/12/2014,2014,6,12,5,10,15002,60
6/12/2014,2014,6,12,5,11,15354,61
6/12/2014,2014,6,12,5,12,15562,61
6/12/2014,2014,6,12,5,13,15607,62
6/12/2014,2014,6,12,5,14,15663,63
6/12/2014,2014,6,12,5,15,15569,63
6/12/2014,2014,6,12,5,16,15473,63
6/12/2014,2014,6,12,5,17,15475,64
6/12/2014,2014,6,12,5,18,15470,65
6/12/2014,2014,6,12,5,19,15316,64
6/12/2014,2014,6,12,5,20,15223,64
6/12/2014,2014,6,12,5,21,15298,63
6/12/2014,2014,6,12,5,22,14616,63
6/12/2014,2014,6,12,5,23,13228,62
6/12/2014,2014,6,12,5,24,11887,63
6/13/2014,2014,6,13,6,1,10987,62
6/13/2014,2014,6,13,6,2,10464,62
6/13/2014,2014,6,13,6,3,10173,62
6/13/2014,2014,6,13,6,4,10091,61
6/13/2014,2014,6,13,6,5,10330,61
6/13/2014,2014,6,13,6,6,11120,61
6/13/2014,2014,6,13,6,7,12723,61
6/13/2014,2014,6,13,6,8,14199,61
6/13/2014,2014,6,13,6,9,14900,61
6/13/2014,2014,6,13,6,10,15359,62
6/13/2014,2014,6,13,6,11,15715,62
6/13/2014,2014,6,13,6,12,15842,62
6/13/2014,2014,6,13,6,13,15806,63
6/13/2014,2014,6,13,6,14,15815,62
6/13/2014,2014,6,13,6,15,15710,63
6/13/2014,2014,6,13,6,16,15631,64
6/13/2014,2014,6,13,6,17,15585,64
6/13/2014,2014,6,13,6,18,15488,64
6/13/2014,2014,6,13,6,19,15203,63
6/13/2014,2014,6,13,6,20,14957,63
6/13/2014,2014,6,13,6,21,14916,63
6/13/2014,2014,6,13,6,22,14345,63
6/13/2014,2014,6,13,6,23,13198,62
6/13/2014,2014,6,13,6,24,11962,61
6/14/2014,2014,6,14,7,1,11030,61
6/14/2014,2014,6,14,7,2,10470,61
6/14/2014,2014,6,14,7,3,10123,61
6/14/2014,2014,6,14,7,4,9970,61
6/14/2014,2014,6,14,7,5,9994,61
6/14/2014,2014,6,14,7,6,10189,60
6/14/2014,2014,6,14,7,7,10794,60
6/14/2014,2014,6,14,7,8,11828,61
6/14/2014,2014,6,14,7,9,12966,62
6/14/2014,2014,6,14,7,10,13812,63
6/14/2014,2014,6,14,7,11,14282,65
6/14/2014,2014,6,14,7,12,14465,67
6/14/2014,2014,6,14,7,13,14462,69
6/14/2014,2014,6,14,7,14,14416,71
6/14/2014,2014,6,14,7,15,14375,73
6/14/2014,2014,6,14,7,16,14312,74
6/14/2014,2014,6,14,7,17,14330,73
6/14/2014,2014,6,14,7,18,14373,72
6/14/2014,2014,6,14,7,19,14220,70
6/14/2014,2014,6,14,7,20,13902,68
6/14/2014,2014,6,14,7,21,13897,65
6/14/2014,2014,6,14,7,22,13675,63
6/14/2014,2014,6,14,7,23,12666,61
6/14/2014,2014,6,14,7,24,11490,60
6/15/2014,2014,6,15,1,1,10567,58
6/15/2014,2014,6,15,1,2,9986,58
6/15/2014,2014,6,15,1,3,9631,57
6/15/2014,2014,6,15,1,4,9428,56
6/15/2014,2014,6,15,1,5,9378,56
6/15/2014,2014,6,15,1,6,9334,55
6/15/2014,2014,6,15,1,7,9797,56
6/15/2014,2014,6,15,1,8,10703,59
6/15/2014,2014,6,15,1,9,11768,62
6/15/2014,2014,6,15,1,10,12559,65
